FECHA,HORA,LATITUD,LONGITUD,ALTITUD,GPS,VELOCIDAD,RUMBO,BATERIA BACKUP (%),BATERIA PRINCIPAL (MV),MOTIVO,DATOS,RECORRIDO,GRABACION,PTA CABINA,PTA CARGA
2018-06-23,18:46:58,"9,991015","-84,233145",873,3,"0,10",54,,0,Detención Prolongada,Detención Prolongada,0,2018-06-23 21:50:09,SI,SI
2018-06-23,17:54:18,"10,002581","-84,205710",942,3,"0,00",261,,0,Detención Prolongada,Detención Prolongada,0,2018-06-23 18:18:22,SI,SI
2018-06-23,17:17:03,"10,009996","-84,216382",928,3,"0,00",54,,0,Detención Prolongada,Detención Prolongada,0,2018-06-23 17:17:05,SI,SI
2018-06-23,13:18:56,"9,991037","-84,233109",871,3,"0,00",23,,0,Detención Prolongada,Detención Prolongada,0,2018-06-23 13:43:59,SI,SI
2018-06-23,11:44:49,"9,991020","-84,233105",871,3,"0,00",16,,0,Detención Prolongada,Detención Prolongada,0,2018-06-23 12:09:38,SI,SI
2018-06-23,08:29:38,"9,946891","-84,290188",667,3,"0,00",144,,0,Detención Prolongada,Detención Prolongada,0,2018-06-23 08:54:15,SI,SI
