año;Parque vehicular total;Crecimiento parque vehicular %;Parque vehicular sin motos;Crecimiento parque sin motos %;Parque vehicular de motos;Crecimiento parque motos %;Importación de vehículos nuevos;Crecimiento parque vehiculos importados %;Vehiculos Robados Pais;Vehiculos Robados DTK;Indice Robo Pais;Parque Vehicular DTK;crecimiento DTK %;Indice Robo DTK
A2012;9968855;0;6519265;0;3449590;0;310997;0;9220;328;0.092488054;16904;0;1.940369143
A2013;10843717;8.7759527;5932370;-9.0024719;4911347;42.37480396;294928;-5.166930871;8933;251;0.082379501;18765;11.00922858;1.337596589
A2014;11784220;8.6732529;5948276;0.2681222;5835944;18.82573152;326344;10.65209136;7751;202;0.0657744;19882;5.952571276;1.015994367
A2015;12777623;8.4299428;6232330;4.7754005;6245293;7.014272241;283380;-13.16524894;7745;191;0.060613778;22100;11.15581933;0.864253394
A2016;12951222;1.3586173;6131448;-1.6186884;6819774;9.198623667;253698;-10.47427483;8047;151;0.062133133;22121;0.095022624;0.682609285
A2017;13689152;5.6977635;6369686;3.8855096;7319466;7.327104974;238238;-6.093859628;7712;160;0.05633658;23411;5.831562768;0.683439409
A2018;14444412;5.5172154;6605825;3.7072314;7824577;6.900926926;231553;-2.806017512;7215;142;0.049950112;25504;8.940241767;0.556775408
A2019;15269094;5.7093497;6834998;3.4692563;8374096;7.022986674;216397;-6.545369743;7425;125;0.04862764;28776;12.8293601;0.434389769
