año;Parque vehicular total;Crecimiento parque vehicular %;Parque vehicular sin motos;Crecimiento parque sin motos %;Parque vehicular de motos;Crecimiento parque motos %;Importación de vehículos nuevos;Crecimiento parque vehiculos importados %;Vehiculos Robados Pais;Vehiculos Robados DTK;Indice Robo Pais;Parque Vehicular DTK;crecimiento DTK %;Indice Robo DTK
2012;9968855;0;6519265;0;3449590;0;310997;0;9220;328;0.000924881;16904;0;0.019403691
2013;10843717;0.087759527;5932370;-0.090024719;4911347;0.42374804;294928;-0.051669309;8933;251;0.000823795;18765;0.110092286;0.013375966
2014;11784220;0.086732529;5948276;0.002681222;5835944;0.188257315;326344;0.106520914;7751;202;0.000657744;19882;0.059525713;0.010159944
2015;12777623;0.084299428;6232330;0.047754005;6245293;0.070142722;283380;-0.131652489;7745;191;0.000606138;22100;0.111558193;0.008642534
2016;12951222;0.013586173;6131448;-0.016186884;6819774;0.091986237;253698;-0.104742748;8047;151;0.000621331;22121;0.000950226;0.006826093
2017;13689152;0.056977635;6369686;0.038855096;7319466;0.07327105;238238;-0.060938596;7712;160;0.000563366;23411;0.058315628;0.006834394
2018;14444412;0.055172154;6605825;0.037072314;7824577;0.069009269;231553;-0.028060175;7215;142;0.000499501;25504;0.089402418;0.005567754
2019;15269094;0.057093497;6834998;0.034692563;8374096;0.070229867;216397;-0.065453697;7425;125;0.000486276;28776;0.128293601;0.004343898
